2019-10-11 09:28:30.798| main | INFO |  -  | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$9de4f57a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) | [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330]
2019-10-11 09:28:31.348| main | INFO |  -  | No active profile set, falling back to default profiles: default | [org.springframework.boot.SpringApplication:648]
2019-10-11 09:28:33.638| main | WARN |  -  | Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format. | [org.springframework.boot.actuate.endpoint.EndpointId:131]
2019-10-11 09:28:34.220| main | INFO |  -  | BeanFactory id=26487748-bbfa-316e-8721-9df394fb7c36 | [org.springframework.cloud.context.scope.GenericScope:295]
2019-10-11 09:28:34.468| main | INFO |  -  | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$9de4f57a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) | [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330]
2019-10-11 09:28:35.005| main | INFO |  -  | Tomcat initialized with port(s): 1111 (http) | [org.springframework.boot.web.embedded.tomcat.TomcatWebServer:90]
2019-10-11 09:28:35.042| main | INFO |  -  | Initializing ProtocolHandler ["http-nio-1111"] | [org.apache.juli.logging.DirectJDKLog:173]
2019-10-11 09:28:35.057| main | INFO |  -  | Starting service [Tomcat] | [org.apache.juli.logging.DirectJDKLog:173]
2019-10-11 09:28:35.057| main | INFO |  -  | Starting Servlet engine: [Apache Tomcat/9.0.24] | [org.apache.juli.logging.DirectJDKLog:173]
2019-10-11 09:28:35.590| main | INFO |  -  | Initializing Spring embedded WebApplicationContext | [org.apache.juli.logging.DirectJDKLog:173]
2019-10-11 09:28:35.590| main | INFO |  -  | Root WebApplicationContext: initialization completed in 4188 ms | [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:284]
2019-10-11 09:28:35.811| main | WARN |  -  | No URLs will be polled as dynamic configuration sources. | [com.netflix.config.sources.URLConfigurationSource:121]
2019-10-11 09:28:35.812| main | INFO |  -  | To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath. | [com.netflix.config.sources.URLConfigurationSource:122]
2019-10-11 09:28:35.846| main | INFO |  -  | DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@6b2fdffc | [com.netflix.config.DynamicPropertyFactory:281]
2019-10-11 09:28:36.908| main | INFO |  -  | Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM' | [com.sun.jersey.server.impl.application.WebApplicationImpl:815]
2019-10-11 09:28:37.093| main | INFO |  -  | Using JSON encoding codec LegacyJacksonJson | [com.netflix.discovery.provider.DiscoveryJerseyProvider:70]
2019-10-11 09:28:37.097| main | INFO |  -  | Using JSON decoding codec LegacyJacksonJson | [com.netflix.discovery.provider.DiscoveryJerseyProvider:71]
2019-10-11 09:28:37.454| main | INFO |  -  | Using XML encoding codec XStreamXml | [com.netflix.discovery.provider.DiscoveryJerseyProvider:80]
2019-10-11 09:28:37.454| main | INFO |  -  | Using XML decoding codec XStreamXml | [com.netflix.discovery.provider.DiscoveryJerseyProvider:81]
2019-10-11 09:28:38.205| main | WARN |  -  | No URLs will be polled as dynamic configuration sources. | [com.netflix.config.sources.URLConfigurationSource:121]
2019-10-11 09:28:38.206| main | INFO |  -  | To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath. | [com.netflix.config.sources.URLConfigurationSource:122]
2019-10-11 09:28:38.760| main | INFO |  -  | Initializing ExecutorService 'applicationTaskExecutor' | [org.springframework.scheduling.concurrent.ExecutorConfigurationSupport:171]
2019-10-11 09:28:40.079| main | INFO |  -  | Setting initial instance status as: STARTING | [org.springframework.cloud.netflix.eureka.InstanceInfoFactory:72]
2019-10-11 09:28:40.186| main | INFO |  -  | Initializing Eureka in region us-east-1 | [com.netflix.discovery.DiscoveryClient:365]
2019-10-11 09:28:40.187| main | INFO |  -  | Client configured to neither register nor query for data. | [com.netflix.discovery.DiscoveryClient:368]
2019-10-11 09:28:40.210| main | INFO |  -  | Discovery Client initialized at timestamp 1570757320207 with initial instances count: 0 | [com.netflix.discovery.DiscoveryClient:381]
2019-10-11 09:28:40.305| main | INFO |  -  | Initializing ... | [com.netflix.eureka.DefaultEurekaServerContext:63]
2019-10-11 09:28:40.311| main | WARN |  -  | The replica size seems to be empty. Check the route 53 DNS Registry | [com.netflix.eureka.cluster.PeerEurekaNodes:155]
2019-10-11 09:28:40.358| main | INFO |  -  | Finished initializing remote region registries. All known remote regions: [] | [com.netflix.eureka.registry.AbstractInstanceRegistry:151]
2019-10-11 09:28:40.360| main | INFO |  -  | Initialized | [com.netflix.eureka.DefaultEurekaServerContext:70]
2019-10-11 09:28:40.415| main | INFO |  -  | Exposing 2 endpoint(s) beneath base path '/actuator' | [org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver:58]
