2019-10-11 09:29:13.344| main | INFO |  -  | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$1b7ce5f5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) | [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330]
2019-10-11 09:29:13.731| main | INFO |  -  | No active profile set, falling back to default profiles: default | [org.springframework.boot.SpringApplication:648]
2019-10-11 09:29:15.382| main | INFO |  -  | Bootstrapping Spring Data repositories in DEFAULT mode. | [org.springframework.data.repository.config.RepositoryConfigurationDelegate:126]
2019-10-11 09:29:15.456| main | INFO |  -  | Finished Spring Data repository scanning in 43ms. Found 0 repository interfaces. | [org.springframework.data.repository.config.RepositoryConfigurationDelegate:182]
2019-10-11 09:29:15.693| main | WARN |  -  | Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format. | [org.springframework.boot.actuate.endpoint.EndpointId:131]
2019-10-11 09:29:15.720| main | WARN |  -  | Endpoint ID 'hystrix.stream' contains invalid characters, please migrate to a valid format. | [org.springframework.boot.actuate.endpoint.EndpointId:131]
2019-10-11 09:29:16.254| main | INFO |  -  | BeanFactory id=ae2af48e-bbf7-3c16-a453-56f1810f0b80 | [org.springframework.cloud.context.scope.GenericScope:295]
2019-10-11 09:29:16.512| main | INFO |  -  | Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$ff62e2f8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) | [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330]
2019-10-11 09:29:16.914| main | INFO |  -  | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$1b7ce5f5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) | [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330]
2019-10-11 09:29:17.585| main | INFO |  -  | Tomcat initialized with port(s): 8113 (http) | [org.springframework.boot.web.embedded.tomcat.TomcatWebServer:90]
2019-10-11 09:29:17.608| main | INFO |  -  | Initializing ProtocolHandler ["http-nio-8113"] | [org.apache.juli.logging.DirectJDKLog:173]
2019-10-11 09:29:17.626| main | INFO |  -  | Starting service [Tomcat] | [org.apache.juli.logging.DirectJDKLog:173]
2019-10-11 09:29:17.627| main | INFO |  -  | Starting Servlet engine: [Apache Tomcat/9.0.24] | [org.apache.juli.logging.DirectJDKLog:173]
2019-10-11 09:29:17.872| main | INFO |  -  | Initializing Spring embedded WebApplicationContext | [org.apache.juli.logging.DirectJDKLog:173]
